Country Code,Country,Region
HKG,Hong Kong,East Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,"India [includes the Andaman, Laccadive and Nicobar island groups]",South & South East Asia
IDN,Indonesia,South & South East Asia
IRN,"Iran, Islamic Republic of",West & Central Asia
IRQ,Iraq,West & Central Asia
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ISR,Israel,West & Central Asia
ITA,Italy,Europe
JAM,Jamaica,Caribbean Islands
JPN,Japan,East Asia
JEY,Jersey,Europe
JOR,Jordan,West & Central Asia
KAZ,Kazakhstan,West & Central Asia
KEN,Kenya,Sub-Saharan Africa
KIR,"Kiribati [includes the Gilbert, Kiribati Line and Phoenix island groups]",Oceania
PRK,"Korea, Democratic People's Republic of",East Asia
KOR,"Korea, Republic of",East Asia
KWT,Kuwait,West & Central Asia
KGZ,Kyrgyzstan,West & Central Asia
LAO,Lao People's Democratic Republic,South & South East Asia
LVA,Latvia,Europe
LBN,Lebanon,West & Central Asia
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,North Africa
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,Macao,East Asia
MKD,"Macedonia, the former Yugoslav Republic of",Europe
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,South & South East Asia
MDV,Maldives,South & South East Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Europe
MHL,Marshall Islands,Oceania
MTQ,Martinique,Caribbean Islands
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius [includes Rodrigues],Sub-Saharan Africa
MYT,Mayotte,Sub-Saharan Africa
MEX,Mexico,Mesoamerica
FSM,"Micronesia, Federated States of",Oceania
MDA,Moldova,North Asia
MCO,Monaco,Europe
MNG,Mongolia,East Asia
MNE,Montenegro,Europe
MSR,Montserrat,Caribbean Islands
MAR,Morocco,North Africa
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,South & South East Asia
NAM,Namibia,Sub-Saharan Africa
NRU,Nauru,Oceania
NPL,Nepal,South & South East Asia
NLD,Netherlands,Europe
NCL,New Caledonia,Oceania
NZL,"New Zealand [includes the Antipodean, Chatham and Kermadec island groups]",Oceania
NIC,Nicaragua,Mesoamerica
NER,Nigeria,Sub-Saharan Africa
NGA,Niger,Sub-Saharan Africa
NIU,Niue,Oceania
NFK,Norfolk Island,Oceania
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Europe
OMN,Oman,West & Central Asia
PAK,Pakistan,West & Central Asia
PLW,Palau,Oceania
PSE,"Palestine, State of",West & Central Asia
PAN,Panama,Mesoamerica
PNG,Papua New Guinea [includes the Bismarck Archipelago and the North Solomons],Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,South & South East Asia
PCN,Pitcairn,Oceania
POL,Poland,Europe
PRT,"Portugal [includes the Azores, Madeira and the Selvagens islands]",Europe
PRI,Puerto Rico,Caribbean Islands
QAT,Qatar,West & Central Asia
REU,Runion,Sub-Saharan Africa
ROM,Romania,Europe
RUS,Russian Federation,North Asia
RWA,Rwanda,Sub-Saharan Africa
BLM,Saint Bathlemy,Caribbean Islands
SHN,"Saint Helena, Ascension and Tristan da Cunha",Sub-Saharan Africa
KNA,Saint Kitts and Nevis,Caribbean Islands
LCA,Saint Lucia,Caribbean Islands
MAF,Saint Martin (French Part),Caribbean Islands
SPM,Saint Pierre and Miquelon,North America
VCT,Saint Vincent and the Grenadines,Caribbean Islands
WSM,Samoa,Oceania
SMR,San Marino,Europe
STP,Sao Tom and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,West & Central Asia
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe
SYC,Seychelles [includes the island of Aldabra],Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SGP,Singapore,South & South East Asia
SXM,Sint Maarten (Dutch Part),Caribbean Islands
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa [includes Marion and Prince Edward Islands],Sub-Saharan Africa
SGS,South Georgia and the South Sandwich Islands,Antarctic
SSD,South Sudan,Sub-Saharan Africa
ESP,Spain [includes the Belearic and Canary islands and the Spanish North African Territories],Europe
LKA,Sri Lanka,South & South East Asia
SDN,Sudan,Sub-Saharan Africa
SUR,Suriname,South America
SJM,Svalbard and Jan Mayen,Europe
SWZ,Swaziland,Sub-Saharan Africa
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syrian Arab Republic,West & Central Asia
TWN,"Taiwan, Province of China",East Asia
TJK,Tajikistan,West & Central Asia
TZA,"Tanzania, United Republic of",Sub-Saharan Africa
THA,Thailand,South & South East Asia
TMP,Timor-Leste,South & South East Asia
TGO,Togo,Sub-Saharan Africa
TKL,Tokelau,Oceania
TON,Tonga,Oceania
TTO,Trinidad and Tobago,Caribbean Islands
TUN,Tunisia,North Africa
TUR,Turkey,West & Central Asia
TKM,Turkmenistan,West & Central Asia
TCA,Turks and Caicos Islands,Caribbean Islands
TUV,Tuvalu,Oceania
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,North Asia
ARE,United Arab Emirates,West & Central Asia
GBR,"United Kingdom [excludes Guernsey, Jersey and Isle of Man]",Europe
UMI,"United States Minor Outlying Islands [includes the Howland-Baker, Johnston, Midway, US Line and Wake island groups]",Oceania
USA,United States,North America
URY,Uruguay,South America
UZB,Uzbekistan,West & Central Asia
VUT,Vanuatu,Oceania
VEN,"Venezuela, Bolivarian Republic of",South America
VNM,Viet Nam,South & South East Asia
VGB,"Virgin Islands, British",Caribbean Islands
VIR,"Virgin Islands, U.S.",Caribbean Islands
WLF,Wallis and Futuna,Oceania
ESH,Western Sahara,North Africa
YEM,Yemen [includes the island of Socotra],West & Central Asia
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
