Code,Indicator Name,Long definition,Source
UIS.NERA.3.M,"Adjusted net enrolment rate, upper secondary, male (%)","Total number of male students of the official upper secondary school age group who are enrolled in upper secondary education or higher, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official upper secondary school age range who are enrolled in upper secondary education or higher by the male population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official school participation age group for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics
UIS.NIRA.1,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Total enrolment in primary education of the official primary school entrance age, as a percentage of the population of the same age in a given school year. It is the equivalent of the age-specific enrolment rate of the official primary entrance age. Divide the number of students in the official primary school entrance age who are enrolled in primary education, regardless of the year of entrance, grade or repetition, by the population of the same age, and multiply the result by 100. Adjusted NIR should be based on total enrolment of all children of the official primary school entrance age in all types of schools that provide organized educational programmes, including public and private institutions. It must be ensured that the enrolment data cover pupils who enter primary school earlier and might repeat the first grade or be at higher grades. While the Net intake rate (NIR) measures timely access to primary school for the official entrance age, the NIRA captures actual access to primary school for the total population of the official entrance age. It reflects efforts made by governments to achieve universal entrance to primary education of the eligible population of the official primary school entrance age. Adjusted NIR gives the proportion of children of the official primary school entrance age that are enrolled in primary education level but not necessary for the first time or in the first grade.",UNESCO Institute for Statistics
UIS.NIRA.1.F,"Adjusted net intake rate to Grade 1 of primary education, female (%)","Total female enrolment in primary education of the official primary school entrance age, as a percentage of the female population of the same age in a given school year. It is the equivalent of the age-specific enrolment rate of the official primary entrance age. Divide the number of female students in the official primary school entrance age who are enrolled in primary education, regardless of the year of entrance, grade or repetition, by the female population of the same age, and multiply the result by 100. Adjusted NIR should be based on total enrolment of all children of the official primary school entrance age in all types of schools that provide organized educational programmes, including public and private institutions. It must be ensured that the enrolment data cover pupils who enter primary school earlier and might repeat the first grade or be at higher grades. While the Net intake rate (NIR) measures timely access to primary school for the official entrance age, the NIRA captures actual access to primary school for the total population of the official entrance age. It reflects efforts made by governments to achieve universal entrance to primary education of the eligible population of the official primary school entrance age. Adjusted NIR gives the proportion of children of the official primary school entrance age that are enrolled in primary education level but not necessary for the first time or in the first grade.",UNESCO Institute for Statistics
UIS.NIRA.1.GPI,"Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)","Ratio of the female adjusted net intake rate for primary to the male value for the same indicator. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics
UIS.NIRA.1.M,"Adjusted net intake rate to Grade 1 of primary education, male (%)","Total male enrolment in primary education of the official primary school entrance age, as a percentage of the male population of the same age in a given school year. It is the equivalent of the age-specific enrolment rate of the official primary entrance age. Divide the number of male students in the official primary school entrance age who are enrolled in primary education, regardless of the year of entrance, grade or repetition, by the male population of the same age, and multiply the result by 100. Adjusted NIR should be based on total enrolment of all children of the official primary school entrance age in all types of schools that provide organized educational programmes, including public and private institutions. It must be ensured that the enrolment data cover pupils who enter primary school earlier and might repeat the first grade or be at higher grades. While the Net intake rate (NIR) measures timely access to primary school for the official entrance age, the NIRA captures actual access to primary school for the total population of the official entrance age. It reflects efforts made by governments to achieve universal entrance to primary education of the eligible population of the official primary school entrance age. Adjusted NIR gives the proportion of children of the official primary school entrance age that are enrolled in primary education level but not necessary for the first time or in the first grade.",UNESCO Institute for Statistics
UIS.LPP.Ag15t99,"Adult illiterate population, 15+ years, % female",Share of the adult illiterate population (age 15+) that is female.,UNESCO Institute for Statistics
UIS.LP.Ag15t99,"Adult illiterate population, 15+ years, both sexes (number)",Total number of adults over age 15 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics
UIS.LP.Ag15t99.F,"Adult illiterate population, 15+ years, female (number)",Total number of females over age 15 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics
UIS.LP.Ag15t99.M,"Adult illiterate population, 15+ years, male (number)",Total number of males over age 15 who cannot both read and write with understanding a short simple statement on their everyday life.,UNESCO Institute for Statistics
SE.ADT.LITR.ZS,"Adult literacy rate, population 15+ years, both sexes (%)","Percentage of the population age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of literates aged 15 years and over by the corresponding age group population and multiplying the result by 100.",UNESCO Institute for Statistics
SE.ADT.LITR.FE.ZS,"Adult literacy rate, population 15+ years, female (%)","Percentage of females age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of female literates aged 15 years and over by the corresponding age group population and multiplying the result by 100.",UNESCO Institute for Statistics
UIS.LR.Ag15t99.GPI,"Adult literacy rate, population 15+ years, gender parity index (GPI)","Ratio of female adult literacy rate to the male adult literacy rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics
SE.ADT.LITR.MA.ZS,"Adult literacy rate, population 15+ years, male (%)","Percentage of males age 15 and above who can, with understanding, read and write a short, simple statement on their everyday life. Generally, ‘literacy’ also encompasses ‘numeracy’, the ability to make simple arithmetic calculations. This indicator is calculated by dividing the number of male literates aged 15 years and over by the corresponding age group population and multiplying the result by 100.",UNESCO Institute for Statistics
UIS.AFR.AGRADMG.1.PU,Africa Dataset: Average number of grades per multigrade class in primary schools (number of grades),"Average number of grade levels that have been merged into multigrade classes in public primary schools. A multigrade class is a class in which students from two or more grades are taught by one teacher in one room at the same time. The existence of multigrade classes can suggest shortages of teachers, classrooms, or low enrolment numbers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G1.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 1 of primary education (number),"Average number of Grade 1 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G2.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 2 of primary education (number),"Average number of Grade 2 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G3.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 3 of primary education (number),"Average number of Grade 3 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G4.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 4 of primary education (number),"Average number of Grade 4 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G5.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 5 of primary education (number),"Average number of Grade 5 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G6.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 6 of primary education (number),"Average number of Grade 6 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G7.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in Grade 7 of primary education (number),"Average number of Grade 7 pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.PU.MATH,Africa Dataset: Average number of pupils per mathematics textbook in primary education (number),"Average number of pupils per mathematics textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G1.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 1 of primary education (number),"Average number of Grade 1 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G2.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 2 of primary education (number),"Average number of Grade 2 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G3.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 3 of primary education (number),"Average number of Grade 3 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G4.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 4 of primary education (number),"Average number of Grade 4 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G5.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 5 of primary education (number),"Average number of Grade 5 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G6.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 6 of primary education (number),"Average number of Grade 6 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.G7.PU.READ,Africa Dataset: Average number of pupils per reading textbook in Grade 7 of primary education (number),"Average number of Grade 7 pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.PBR.1.PU.READ,Africa Dataset: Average number of pupils per reading textbook in primary education (number),"Average number of pupils per reading textbook in public primary schools. The data reported includes textbooks in all languages of instruction which are owned by schools and have been distributed to pupils on loan or kept in schools for use in the classroom. The data reported excludes books in school libraries as well as novels and books for use by teachers (such as curriculum guides, syllabi and teacher guides). Data Limitations: While national-level data may suggest all pupils have access to books in these countries, this may hide sub-national disparities. For example, pupils in some schools may have more than one textbook, while shortages may persist in others. The data also does not provide information about the quality of the textbooks available that may sometimes be old or used. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.1.PU,Africa Dataset: Average size of classes in primary schools (number of pupils),"Average number of students per class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.MG.1.PU,Africa Dataset: Average size of multigrade classes in primary schools (number of pupils),"Average number of students per multigrade class in public primary schools. A multigrade class is a class in which students from two or more grades are taught by one teacher in one room at the same time. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.SG.1.G1.PU,Africa Dataset: Average size of single grade classes in Grade 1 of primary schools (number of pupils),"Average number of students per Grade 1 class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.SG.1.G2.PU,Africa Dataset: Average size of single grade classes in Grade 2 of primary schools (number of pupils),"Average number of students per Grade 2 class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.SG.1.G3.PU,Africa Dataset: Average size of single grade classes in Grade 3 of primary schools (number of pupils),"Average number of students per Grade 3 class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.SG.1.G4.PU,Africa Dataset: Average size of single grade classes in Grade 4 of primary schools (number of pupils),"Average number of students per Grade 4 class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
UIS.AFR.CS.SG.1.G5.PU,Africa Dataset: Average size of single grade classes in Grade 5 of primary schools (number of pupils),"Average number of students per Grade 5 class in public primary schools. Average class sizes differ from pupil-teacher ratios because average class sizes reflect the actual number of pupils taught by a teacher at a given time while the pupil-teacher ratio is a more global measure of the teaching resources available in schools. Pupil-teacher ratios are generally lower than average class sizes as teachers typically have additional non-teaching duties. The pupil-teacher ratio is useful for assessing the cost of providing education whereas class sizes are related to the classroom working conditions of teachers. Data available for African countries only. For more information, consult the UNESCO Institute for Statistics' Regional Data Collections page.",UNESCO Institute for Statistics
